Date;Mask_Inside;Mask_Outside;Hard_Lockdown;Partial_lockdown;Partial Restrictions
25/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
26/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
27/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
28/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
29/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
30/11/2020;TRUE;TRUE;FALSE;FALSE;TRUE
01/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
02/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
03/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
04/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
05/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
06/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
07/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
08/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
09/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
10/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
11/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
12/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
13/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
14/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
15/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
16/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
17/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
18/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
19/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
20/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
21/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
22/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
23/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
24/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
25/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
26/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
27/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
28/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
29/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
30/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
31/12/2020;TRUE;TRUE;FALSE;FALSE;TRUE
01/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
02/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
03/01/2021;TRUE;TRUE;FALSE;FALSE;TRUE
